id,createdAt,title,userId,type,id,read,message
"citizen-notif-001","2025-01-20T15:30:00.000Z","Vehicle Registration Confirmed","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","appointment_confirmation","citizen-notif-001","false","Your vehicle registration appointment has been confirmed for February 18, 2025 at 11:00 AM. Please bring all required documents."
"citizen-notif-002","2025-01-22T16:00:00.000Z","Tax Registration Confirmed","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","appointment_confirmation","citizen-notif-002","false","Your business tax registration appointment has been confirmed for February 25, 2025 at 3:00 PM."
"citizen-notif-003","2025-02-17T09:00:00.000Z","Upcoming Appointment Reminder","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","reminder","citizen-notif-003","false","Reminder: You have a vehicle registration appointment tomorrow at 11:00 AM. Reference: GE-2025-VR-004"
"citizen-notif-004","2025-01-26T10:00:00.000Z","Marriage Certificate Under Review","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","status_update","citizen-notif-004","true","Your marriage certificate application (GE-2025-MC-006) is currently under review. We will notify you once approved."
"citizen-notif-005","2024-12-20T11:30:00.000Z","Passport Application Completed","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","status_update","citizen-notif-005","true","Great news! Your passport application has been completed successfully. You can collect it from the office."
"citizen-notif-006","2025-01-29T14:00:00.000Z","Document Verification Required","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","document_review","citizen-notif-006","false","Please verify your submitted documents for passport renewal application. Log in to check details."
"citizen-notif-007","2024-12-05T15:00:00.000Z","Birth Certificate Completed","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","appointment_confirmation","citizen-notif-007","true","Your birth certificate has been processed and is ready for collection. Thank you for using GovEase!"
"citizen-notif-008","2024-11-16T10:00:00.000Z","Driving License Collection","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","reminder","citizen-notif-008","true","Your driving license is ready for collection. Please visit the DMT office with your receipt."
"demo-notif-001","2025-01-15T14:00:00.000Z","Appointment Confirmed","demo-citizen-001","appointment_confirmation","demo-notif-001","false","Your driving license appointment has been confirmed for Jan 20, 2025 at 10:00 AM."
"demo-notif-002","2025-01-18T10:00:00.000Z","Appointment Complete","demo-citizen-002","reminder","demo-notif-002","true","Your vehicle registration appointment was completed successfully."
"demo-notif-008","2025-06-02T15:41:15.332Z","Status Update","demo-citizen-030","status_update","demo-notif-008","true","Your appointment status has been updated to confirmed."
